1,1,1,4,448,7
2,2,1,3,185,17
3,3,1,4,349,11
4,4,1,5,569,3
5,5,1,4,367,9
6,6,1,5,565,5
7,7,1,3,212,13
8,8,1,4,397,1
9,9,1,4,383,15
10,10,1,4,487,8
11,11,1,3,144,16
12,12,1,4,343,6
13,13,1,5,646,2
14,14,1,4,375,10
15,15,1,4,363,14
16,16,1,3,136,18
17,17,1,4,407,4
18,18,1,5,509,4
19,1,2,4,424,7
20,2,2,3,161,17
21,3,2,4,339,11
22,4,2,5,523,3
23,5,2,4,338,9
24,6,2,5,535,5
25,7,2,3,191,13
26,8,2,4,366,1
27,9,2,4,355,15
28,10,2,4,474,8
29,11,2,3,126,16
30,12,2,4,327,6
31,13,2,5,570,2
32,14,2,4,358,10
33,15,2,4,331,14
34,16,2,3,122,18
35,17,2,4,386,4
36,18,2,5,474,12
37,1,3,5,561,10
38,2,3,4,353,7
39,3,3,3,162,5
40,4,3,4,408,3
41,5,3,5,517,17
42,6,3,3,180,9
43,7,3,4,395,5
44,8,3,4,406,1
45,9,3,4,434,13
46,10,3,4,427,6
47,11,3,5,547,14
48,12,3,4,386,8
49,13,3,3,161,18
50,14,3,4,417,2
51,15,3,4,422,4
52,16,3,5,530,12
53,17,3,3,165,16
54,18,3,4,389,10
55,1,4,5,544,11
56,2,4,4,329,7
57,3,4,3,152,15
58,4,4,4,392,3
59,5,4,5,499,17
60,6,4,3,165,9
61,7,4,4,378,5
62,8,4,4,361,1
63,9,4,4,417,13
64,10,4,4,411,6
65,11,4,5,516,14
66,12,4,4,366,8
67,13,4,3,144,18
68,14,4,4,376,2
69,15,4,4,394,4
70,16,4,5,517,12
71,17,4,3,164,16
72,18,4,4,370,10
73,1,5,4,293,17
74,2,5,4,398,1
75,3,5,3,196,7
76,4,5,3,168,15
77,5,5,4,345,9
78,6,5,4,333,11
79,7,5,4,409,3
80,8,5,4,309,13
81,9,5,4,393,5
82,10,5,4,335,10
83,11,5,4,317,14
84,12,5,3,175,12
85,13,5,5,485,6
86,14,5,3,144,18
87,15,5,5,517,2
88,16,5,4,440,4
89,17,5,3,169,16
90,18,5,4,446,8
91,1,6,4,263,17
92,2,6,4,370,1
93,3,6,3,196,7
94,4,6,3,151,15
95,5,6,4,302,9
96,6,6,4,316,11
97,7,6,4,400,3
98,8,6,4,296,13
99,9,6,4,367,5
100,10,6,4,326,10
101,11,6,4,289,14
102,12,6,3,175,12
103,13,6,5,478,6
104,14,6,3,140,18
105,15,6,5,486,2
106,16,6,4,431,4
107,17,6,3,124,16
108,18,6,4,436,8
109,1,7,4,418,4
110,2,7,5,566,12
111,3,7,3,231,14
112,4,7,4,433,6
113,5,7,4,448,10
114,6,7,4,341,16
115,7,7,4,442,2
116,8,7,5,562,8
117,9,7,3,165,18
118,10,7,4,420,1
119,11,7,4,413,7
120,12,7,3,225,13
121,13,7,5,479,9
122,14,7,5,569,3
123,15,7,4,411,5
124,16,7,4,351,15
125,17,7,3,163,17
126,18,7,4,405,11
127,1,8,4,348,4
128,2,8,5,495,12
129,3,8,3,196,14
130,4,8,4,360,6
131,5,8,4,343,10
132,6,8,4,299,16
133,7,8,4,366,2
134,8,8,5,491,8
135,9,8,3,137,18
136,10,8,4,370,1
137,11,8,4,366,7
138,12,8,3,193,13
139,13,8,5,423,9
140,14,8,5,446,3
141,15,8,4,325,5
142,16,8,4,308,15
143,17,8,3,135,17
144,18,8,4,356,11
145,1,9,4,339,4
146,2,9,5,485,12
147,3,9,3,148,14
148,4,9,4,355,6
149,5,9,4,336,10
150,6,9,4,285,16
151,7,9,4,361,2
152,8,9,5,487,8
153,9,9,3,133,18
154,10,9,4,354,1
155,11,9,4,358,7
156,12,9,3,158,13
157,13,9,5,417,9
158,14,9,5,416,3
159,15,9,4,311,5
160,16,9,4,286,15
161,17,9,3,131,17
162,18,9,4,343,11
163,1,10,4,323,4
164,2,10,5,441,12
165,3,10,3,134,14
166,4,10,4,314,6
167,5,10,4,305,10
168,6,10,4,266,16
169,7,10,4,290,2
170,8,10,5,391,8
171,9,10,3,114,18
172,10,10,4,336,1
173,11,10,4,342,7
174,12,10,3,133,13
175,13,10,5,403,9
176,14,10,5,397,3
177,15,10,4,281,5
178,16,10,4,266,15
179,17,10,3,102,17
180,18,10,4,261,11
181,1,11,4,392,15
182,2,11,4,432,3
183,3,11,3,191,13
184,4,11,5,525,17
185,5,11,4,408,1
186,6,11,3,191,7
187,7,11,5,568,11
188,8,11,4,416,9
189,9,11,4,422,5
190,10,11,4,395,18
191,11,11,4,359,14
192,12,11,3,206,10
193,13,11,5,548,2
194,14,11,4,422,16
195,15,11,3,211,6
196,16,11,5,573,12
197,17,11,4,441,4
198,18,11,5,485,8
199,1,12,4,383,15
200,2,12,4,412,3
201,3,12,3,179,13
202,4,12,5,505,17
203,5,12,4,393,1
204,6,12,3,176,7
205,7,12,5,558,11
206,8,12,4,384,9
207,9,12,4,414,5
208,10,12,4,369,18
209,11,12,4,350,14
210,12,12,3,176,10
211,13,12,5,535,2
212,14,12,4,407,16
213,15,12,3,201,6
214,16,12,5,563,12
215,17,12,4,412,4
216,18,12,5,470,8
217,1,13,4,357,15
218,2,13,4,381,3
219,3,13,3,135,13
220,4,13,5,455,17
221,5,13,4,366,1
222,6,13,3,140,7
223,7,13,5,526,11
224,8,13,4,366,9
225,9,13,4,389,5
226,10,13,4,349,18
227,11,13,4,318,14
228,12,13,3,166,10
229,13,13,5,487,2
230,14,13,4,373,16
231,15,13,3,182,6
232,16,13,5,536,12
233,17,13,4,372,4
234,18,13,5,451,8
235,1,14,4,389,13
236,2,14,4,449,3
237,3,14,3,235,5
238,4,14,4,419,7
239,5,14,5,579,9
240,6,14,4,363,15
241,7,14,4,462,1
242,8,14,3,187,11
243,9,14,5,537,17
244,10,14,4,440,8
245,11,14,4,423,16
246,12,14,5,549,18
247,13,14,4,449,4
248,14,14,3,218,14
249,15,14,4,441,6
250,16,14,5,554,10
251,17,14,3,207,12
252,18,14,4,467,2
253,1,15,4,367,13
254,2,15,4,435,3
255,3,15,3,210,5
256,4,15,4,392,7
257,5,15,5,542,9
258,6,15,4,363,15
259,7,15,4,428,1
260,8,15,3,168,11
261,9,15,5,523,17
262,10,15,4,412,8
263,11,15,4,392,16
264,12,15,5,525,18
265,13,15,4,419,4
266,14,15,3,191,14
267,15,15,4,414,6
268,16,15,5,535,10
269,17,15,3,183,12
270,18,15,4,436,2
271,1,16,4,361,13
272,2,16,4,423,3
273,3,16,3,203,5
274,4,16,4,384,7
275,5,16,5,514,9
276,6,16,4,338,15
277,7,16,4,416,1
278,8,16,3,161,11
279,9,16,5,465,17
280,10,16,4,406,8
281,11,16,4,384,16
282,12,16,5,511,18
283,13,16,4,405,4
284,14,16,3,184,14
285,15,16,4,402,6
286,16,16,5,509,10
287,17,16,3,177,12
288,18,16,4,421,2
289,1,17,4,335,16
290,2,17,4,404,6
291,3,17,3,167,14
292,4,17,4,437,2
293,5,17,5,497,8
294,6,17,3,184,18
295,7,17,4,379,10
296,8,17,4,394,4
297,9,17,5,511,12
298,10,17,4,408,1
299,11,17,4,316,15
300,12,17,3,231,9
301,13,17,4,368,5
302,14,17,5,496,11
303,15,17,4,422,3
304,16,17,4,295,13
305,17,17,3,132,17
306,18,17,5,482,7
307,1,18,4,311,16
308,2,18,4,376,6
309,3,18,3,141,14
310,4,18,4,416,2
311,5,18,5,480,8
312,6,18,3,164,18
313,7,18,4,354,10
314,8,18,4,375,4
315,9,18,5,487,12
316,10,18,4,379,1
317,11,18,4,294,15
318,12,18,3,202,9
319,13,18,4,346,5
320,14,18,5,476,11
321,15,18,4,351,3
322,16,18,4,275,13
323,17,18,3,124,17
324,18,18,5,461,7
325,1,19,4,364,11
326,2,19,3,170,7
327,3,19,4,364,3
328,4,19,3,152,17
329,5,19,4,384,1
330,6,19,5,476,15
331,7,19,4,373,5
332,8,19,3,159,9
333,9,19,4,350,13
334,10,19,3,196,4
335,11,19,4,250,18
336,12,19,3,160,12
337,13,19,4,396,2
338,14,19,4,316,8
339,15,19,4,323,14
340,16,19,4,314,16
341,17,19,3,196,6
342,18,19,4,355,10
343,1,20,4,356,11
344,2,20,3,165,7
345,3,20,4,347,3
346,4,20,3,144,17
347,5,20,4,371,1
348,6,20,5,465,15
349,7,20,4,357,5
350,8,20,3,149,9
351,9,20,4,340,13
352,10,20,3,195,4
353,11,20,4,233,18
354,12,20,3,145,12
355,13,20,4,385,2
356,14,20,4,309,8
357,15,20,4,310,14
358,16,20,4,306,16
359,17,20,3,180,6
360,18,20,4,348,10
361,1,21,5,481,9
362,2,21,3,188,11
363,3,21,4,416,3
364,4,21,4,347,15
365,5,21,4,375,5
366,6,21,4,380,7
367,7,21,4,260,17
368,8,21,4,444,1
369,9,21,3,189,13
370,10,21,4,450,4
371,11,21,5,601,2
372,12,21,3,153,18
373,13,21,5,473,12
374,14,21,5,497,8
375,15,21,3,171,16
376,16,21,4,421,6
377,17,21,3,176,14
378,18,21,4,330,10
379,1,22,5,465,9
380,2,22,3,176,11
381,3,22,4,407,3
382,4,22,4,334,15
383,5,22,4,368,5
384,6,22,4,335,7
385,7,22,4,251,17
386,8,22,4,434,1
387,9,22,3,170,13
388,10,22,4,422,4
389,11,22,5,580,2
390,12,22,3,145,18
391,13,22,5,463,12
392,14,22,5,456,8
393,15,22,3,137,16
394,16,22,4,393,6
395,17,22,3,147,14
396,18,22,4,325,10
397,1,23,4,372,7
398,2,23,4,419,3
399,3,23,4,401,9
400,4,23,4,289,17
401,5,23,5,510,15
402,6,23,3,149,13
403,7,23,4,397,5
404,8,23,4,452,1
405,9,23,3,162,11
406,10,23,4,362,10
407,11,23,5,505,16
408,12,23,4,416,6
409,13,23,3,198,12
410,14,23,4,424,2
411,15,23,4,344,14
412,16,23,3,177,18
413,17,23,5,574,4
414,18,23,4,456,8
415,1,24,4,372,7
416,2,24,4,414,3
417,3,24,4,382,9
418,4,24,4,289,17
419,5,24,5,490,15
420,6,24,3,149,13
421,7,24,4,397,5
422,8,24,4,452,1
423,9,24,3,162,11
424,10,24,4,351,10
425,11,24,5,490,16
426,12,24,4,416,6
427,13,24,3,198,12
428,14,24,4,424,2
429,15,24,4,334,14
430,16,24,3,168,18
431,17,24,5,562,4
432,18,24,4,420,8
433,1,25,4,365,7
435,3,25,4,358,9
434,2,25,4,386,3
436,4,25,4,281,17
437,5,25,5,453,15
438,6,25,3,130,13
439,7,25,4,384,5
440,8,25,4,441,1
441,9,25,3,152,11
442,10,25,4,335,10
443,11,25,5,473,16
444,12,25,4,412,6
445,13,25,3,165,12
446,14,25,4,422,2
447,15,25,4,298,14
448,16,25,3,155,18
449,17,25,5,551,4
450,18,25,4,384,8
451,1,26,4,341,10
452,2,26,3,166,14
453,3,26,4,318,18
454,4,26,4,430,2
455,5,26,5,488,8
456,6,26,3,169,16
457,7,26,5,477,6
458,8,26,4,393,4
459,9,26,4,299,12
460,10,26,4,336,11
461,11,26,3,186,7
462,12,26,5,504,13
463,13,26,4,412,5
464,14,26,4,414,1
465,15,26,5,532,15
466,16,26,4,422,3
467,17,26,3,174,17
468,18,26,4,403,9
469,1,27,4,318,10
470,2,27,3,150,14
471,3,27,4,302,18
472,4,27,4,403,2
473,5,27,5,469,8
474,6,27,3,156,16
475,7,27,5,462,6
476,8,27,4,361,4
477,9,27,4,280,12
478,10,27,4,281,11
479,11,27,3,165,7
480,12,27,5,481,13
481,13,27,4,332,5
482,14,27,4,351,1
483,15,27,5,510,15
484,16,27,4,370,3
485,17,27,3,159,17
486,18,27,4,375,9
487,1,28,4,302,14
488,2,28,4,302,16
489,3,28,3,147,18
490,4,28,4,410,6
491,5,28,4,367,4
492,6,28,4,389,2
493,7,28,4,332,8
494,8,28,5,497,10
495,9,28,3,174,12
496,10,28,5,500,15
497,11,28,4,374,11
498,12,28,4,414,5
499,13,28,4,424,1
500,14,28,3,172,13
501,15,28,4,387,9
502,16,28,5,513,7
503,17,28,3,160,17
504,18,28,4,413,3
505,1,29,4,291,14
506,2,29,4,280,16
507,3,29,3,137,18
508,4,29,4,403,6
509,5,29,4,350,4
510,6,29,4,373,2
511,7,29,4,322,8
512,8,29,5,481,10
513,9,29,3,166,12
514,10,29,5,489,15
515,11,29,4,359,11
516,12,29,4,392,5
517,13,29,4,408,1
518,14,29,3,115,13
519,15,29,4,376,9
520,16,29,5,473,7
521,17,29,3,137,17
522,18,29,4,398,3
523,1,30,3,167,16
524,2,30,4,411,1
525,3,30,3,200,13
526,4,30,4,409,3
527,5,30,4,375,5
528,6,30,4,314,18
529,7,30,5,508,9
530,8,30,4,388,4
531,9,30,3,147,17
532,10,30,4,316,15
533,11,30,4,333,8
534,12,30,3,203,6
535,13,30,4,294,14
536,14,30,5,495,7
537,15,30,3,173,12
538,16,30,4,429,2
539,17,30,5,491,11
540,18,30,4,324,10
541,1,31,3,157,16
542,2,31,4,358,1
543,3,31,3,185,12
544,4,31,4,401,3
545,5,31,4,357,4
546,6,31,4,307,18
547,7,31,5,496,7
548,8,31,4,375,2
549,9,31,3,135,15
550,10,31,4,305,17
551,11,31,4,326,6
552,12,31,3,182,9
553,13,31,4,284,13
554,14,31,5,485,8
555,15,31,3,162,14
556,16,31,4,362,5
557,17,31,5,480,10
558,18,31,4,311,11
559,1,32,4,388,9
560,2,32,3,151,15
561,3,32,4,300,17
562,4,32,4,326,13
563,5,32,4,377,6
564,6,32,5,428,11
565,7,32,3,194,2
566,8,32,4,397,7
567,9,32,5,512,4
568,10,32,4,360,8
569,11,32,5,466,12
570,12,32,3,128,16
571,13,32,4,361,3
572,14,32,4,287,18
573,15,32,4,437,1
574,16,32,5,481,14
575,17,32,3,183,5
576,18,32,4,371,10
